"File","Lines","Bytes","Modified"
"D:\IMS\3\inventory-management-system-full-project\docs\guides\SETUP.md","176","5583","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\INDEX.md","138","7443","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\MASTER_DATA_PRODUCTION_UPDATE.md","406","17285","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\PO_MULTIPLE_ITEMS_FEATURE.md","422","19201","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\PURCHASE_MODULE_FIELD_CORRECTIONS.md","469","28098","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\TOAST_NOTIFICATIONS_IMPLEMENTATION.md","321","13208","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\workflows\WF_01_AUTH.md","100","5032","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\workflows\WF_02_MASTERS.md","157","6943","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\workflows\WF_03_PURCHASE.md","179","7509","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\workflows\WF_04_SALES.md","238","10622","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\workflows\WF_05_PAYMENTS.md","151","5988","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\docs\workflows\WF_06_REPORTS.md","167","7131","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\.eslintrc.json","24","595","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\package.json","44","1296","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\package-lock.json","5517","203024","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\archive.ts","46","1424","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\auth.ts","51","1560","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\client.ts","198","7664","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\company.ts","41","1679","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\customers.ts","69","2699","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\payments.ts","119","3822","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\products.ts","88","3146","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\purchase.ts","252","8151","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\reports.ts","439","12241","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\sales.ts","276","8903","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\stock.ts","159","6048","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\suppliers.ts","63","2385","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\api\users.ts","33","1393","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\App.tsx","280","10669","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\components\AppLayout.tsx","456","21580","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\components\ConfirmDialogHost.tsx","91","3199","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\components\PageState.tsx","24","802","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\hooks\usePermissions.ts","31","1136","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\index.css","88","2714","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\main.tsx","16","487","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\CategoriesPage.tsx","296","13263","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\CompanyPage.tsx","513","25573","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\CustomersPage.tsx","1282","62504","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\DashboardPage.tsx","306","16692","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\GRNPage.tsx","1136","64099","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\InventoryCountDifferencePage.tsx","327","16261","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\InventoryCountPage.tsx","518","21376","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\InvoicesPage.tsx","999","55276","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\LoginPage.tsx","262","11196","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\PayablesPage.tsx","585","33070","28-04-2026 04:21:32"
"D:\IMS\3\inventory-management-system-full-project\frontend\src\pages\ProductsPage.tsx","856","44085","28-04-2026 04:21:32"
